Designator,Mid X,Mid Y,Rotation,Layer
U133,597.4,-602.0,270.0,top
U134,597.4,-590.8,270.0,top
U135,597.4,-579.6,270.0,top
U136,597.4,-568.4,270.0,top
U137,597.4,-557.2,270.0,top
U138,597.4,-546.0,270.0,top
U139,586.2,-602.0,90.0,top
U14,597.4,-658.0,270.0,top
U140,586.2,-590.8,90.0,top
U141,586.2,-579.6,90.0,top
U142,586.2,-568.4,90.0,top
U143,586.2,-557.2,90.0,top
U144,586.2,-546.0,90.0,top
U145,575.0,-602.0,270.0,top
U146,575.0,-590.8,270.0,top
U147,575.0,-579.6,270.0,top
U148,575.0,-568.4,270.0,top
U149,575.0,-557.2,270.0,top
U15,597.4,-646.8,270.0,top
U150,575.0,-546.0,270.0,top
U151,451.8,-602.0,270.0,top
U152,451.8,-590.8,270.0,top
U153,451.8,-579.6,270.0,top
U154,451.8,-568.4,270.0,top
U155,451.8,-557.2,270.0,top
U156,451.8,-546.0,270.0,top
U157,440.6,-602.0,90.0,top
U158,440.6,-590.8,90.0,top
U159,440.6,-579.6,90.0,top
U16,597.4,-635.6,270.0,top
U160,440.6,-568.4,90.0,top
U161,440.6,-557.2,90.0,top
U162,440.6,-546.0,90.0,top
U163,429.4,-602.0,270.0,top
U164,429.4,-590.800001,270.0,top
U165,429.4,-579.6,270.0,top
U166,429.4,-568.4,270.0,top
U167,429.4,-557.2,270.0,top
U168,429.4,-546.0,270.0,top
U169,418.2,-602.0,90.0,top
U17,597.4,-624.4,270.0,top
U170,418.2,-590.800001,90.0,top
U171,418.2,-579.600001,90.0,top
U172,418.2,-568.4,90.0,top
U173,418.2,-557.2,90.0,top
U174,418.2,-546.0,90.0,top
U175,407.0,-602.0,270.0,top
U176,407.0,-590.800001,270.0,top
U177,407.0,-579.600001,270.0,top
U178,407.0,-568.4,270.0,top
U179,407.0,-557.2,270.0,top
U18,597.4,-613.2,270.0,top
U180,407.0,-546.0,270.0,top
U181,463.0,-277.2,90.0,top
U182,463.0,-288.4,90.0,top
U183,463.0,-299.6,90.0,top
U184,463.0,-310.8,90.0,top
U185,463.0,-322.0,90.0,top
U186,463.0,-333.2,90.0,top
U187,474.2,-277.2,270.0,top
U188,474.2,-288.4,270.0,top
U189,474.2,-299.6,270.0,top
U19,586.2,-669.2,90.0,top
U190,474.2,-310.8,270.0,top
U191,474.2,-322.0,270.0,top
U192,474.2,-333.2,270.0,top
U193,485.4,-277.2,90.0,top
U194,485.4,-288.399999,90.0,top
U195,485.4,-299.6,90.0,top
U196,485.4,-310.8,90.0,top
U197,485.4,-322.0,90.0,top
U198,485.4,-333.2,90.0,top
U199,496.6,-277.2,270.0,top
U2,619.8,-658.0,270.0,top
U20,586.2,-658.0,90.0,top
U200,496.6,-288.399999,270.0,top
U201,496.6,-299.599999,270.0,top
U202,496.6,-310.8,270.0,top
U203,496.6,-322.0,270.0,top
U204,496.6,-333.2,270.0,top
U205,507.8,-277.2,90.0,top
U206,507.8,-288.399999,90.0,top
U207,507.8,-299.599999,90.0,top
U208,507.8,-310.8,90.0,top
U209,507.8,-322.0,90.0,top
U21,586.2,-646.8,90.0,top
U210,507.8,-333.2,90.0,top
U211,519.0,-277.2,90.0,top
U212,519.0,-288.4,90.0,top
U213,519.0,-299.6,90.0,top
U214,519.0,-310.8,90.0,top
U215,519.0,-322.0,90.0,top
U216,519.0,-333.2,90.0,top
U217,530.2,-277.2,270.0,top
U218,530.2,-288.4,270.0,top
U219,530.2,-299.6,270.0,top
U22,586.2,-635.6,90.0,top
U220,530.2,-310.8,270.0,top
U221,530.2,-322.0,270.0,top
U222,530.2,-333.2,270.0,top
U223,541.4,-277.2,90.0,top
U224,541.4,-288.4,90.0,top
U225,541.4,-299.6,90.0,top
U226,541.4,-310.8,90.0,top
U227,541.4,-322.0,90.0,top
